epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.0705,1.35678,2.49573,1.35852,0.00678,1,0.55278,0.34272,1.12906,3.02208,0.93464,0.000547614,0.000547614,0.000547614
2,122.098,1.14475,1.41596,1.19798,0.2255,1,0.29021,0.13681,1.51594,5.0404,1.01424,0.00109236,0.00109236,0.00109236
3,168.22,1.10159,1.20635,1.20865,0.69475,1,0.995,0.44974,1.49407,2.974,1.03176,0.0016261,0.0016261,0.0016261
4,213.913,1.08691,1.0508,1.17521,0.92988,1,0.995,0.64675,1.37628,2.90166,1.01874,0.00161749,0.00161749,0.00161749
5,259.791,1.04332,0.90702,1.15443,0.90607,1,0.995,0.796,0.96097,0.72368,0.91455,0.00160099,0.00160099,0.00160099
6,305.7,1.07234,0.86836,1.16611,0.85723,1,0.995,0.64675,1.35835,0.96701,0.9725,0.00158448,0.00158448,0.00158448
7,351.037,1.00938,0.80292,1.14706,0.91223,1,0.995,0.6965,1.2883,0.91324,0.95023,0.00156798,0.00156798,0.00156798
8,396.928,0.99131,0.75477,1.13125,0.95082,1,0.995,0.74625,0.8825,0.8196,0.89487,0.00155148,0.00155148,0.00155148
9,442.657,0.97066,0.69867,1.10869,0.68863,1,0.995,0.6965,0.8883,2.04061,0.91264,0.00153497,0.00153497,0.00153497
10,487.807,0.95904,0.67864,1.10362,0.94621,1,0.995,0.66096,1.14228,0.54978,0.94169,0.00151847,0.00151847,0.00151847
11,533.465,0.9241,0.66504,1.09811,0.93364,1,0.995,0.6965,1.03741,0.85739,0.93053,0.00150197,0.00150197,0.00150197
12,579.138,0.95357,0.64586,1.09354,0.95942,1,0.995,0.64675,1.25827,0.65137,0.97454,0.00148546,0.00148546,0.00148546
13,629.78,0.92444,0.64988,1.09322,0.9624,1,0.995,0.64675,1.14808,0.56775,0.92094,0.00146896,0.00146896,0.00146896
14,676.02,0.94385,0.65073,1.09868,0.93531,1,0.995,0.64675,1.36617,0.62403,0.96252,0.00145246,0.00145246,0.00145246
15,714.979,0.89118,0.61766,1.08199,0.93027,1,0.995,0.74625,0.99841,0.4887,0.91804,0.00143595,0.00143595,0.00143595
16,748.744,0.91197,0.62603,1.08555,0.91312,1,0.995,0.6965,1.45442,1.46551,0.96121,0.00141945,0.00141945,0.00141945
17,786.611,0.92186,0.60552,1.08988,0.95994,1,0.995,0.54725,1.44,0.61573,0.96307,0.00140295,0.00140295,0.00140295
18,824.967,0.89806,0.56715,1.07555,0.95242,1,0.995,0.60695,1.31544,0.54426,0.96124,0.00138644,0.00138644,0.00138644
19,870.8,0.92021,0.61871,1.08804,0.96607,1,0.995,0.74625,1.12192,0.58688,0.95583,0.00136994,0.00136994,0.00136994
20,916.725,0.87554,0.58429,1.06681,0.94936,1,0.995,0.6965,1.24794,0.59992,0.91872,0.00135344,0.00135344,0.00135344
21,962.619,0.87053,0.55861,1.05794,0.96584,1,0.995,0.796,0.9454,0.60091,0.90879,0.00133693,0.00133693,0.00133693
22,1008.63,0.86402,0.56875,1.06107,0.9417,1,0.995,0.61358,1.45676,0.60505,0.99252,0.00132043,0.00132043,0.00132043
23,1054.33,0.86974,0.5639,1.06294,0.95894,1,0.995,0.74625,1.17947,0.55928,0.93116,0.00130393,0.00130393,0.00130393
24,1100.16,0.83732,0.52793,1.04539,0.93495,1,0.995,0.74625,0.95066,0.55601,0.91336,0.00128742,0.00128742,0.00128742
25,1146.69,0.8442,0.5265,1.04794,0.96324,1,0.995,0.6965,1.08746,0.71875,0.92632,0.00127092,0.00127092,0.00127092
26,1193.89,0.85213,0.54711,1.05469,0.98486,1,0.995,0.64675,1.30324,0.53127,0.9555,0.00125442,0.00125442,0.00125442
27,1241.15,0.85241,0.54865,1.06002,0.94155,1,0.995,0.796,1.07286,0.46958,0.91445,0.00123791,0.00123791,0.00123791
28,1290.36,0.82722,0.52712,1.03622,0.94552,1,0.995,0.64675,1.33616,0.6948,0.96852,0.00122141,0.00122141,0.00122141
